label,title,url,citation_count,citation_source,semantic_scholar_citationCount,openalex_cited_by_count,crossref_is_referenced_by_count
ICML2025,Why is Spatial Reasoning Hard for VLMs? An Attention Mechanism Perspective on Focus Areas,https://arxiv.org/pdf/2503.01773,31,semantic_scholar,31,0,
arXiv2023,What Makes for Good Visual Tokenizers for Large Language Models,https://arxiv.org/pdf/2305.12223,44,semantic_scholar,44,1,
arXiv2025,Visual Spatial Tuning,https://arxiv.org/pdf/2511.05491,4,semantic_scholar,4,35498,
NeurIPS2024,Visual SKETCHPAD: Sketching as a visual chain of thought for multimodal language models,https://arxiv.org/pdf/2406.09403,170,semantic_scholar,170,0,
arXiv2025,ViLaSR: Reinforcing Spatial Reasoning in Vision-Language Models with Interwoven Thinking and Visual Drawing,https://arxiv.org/abs/2506.09965,34,semantic_scholar,34,,
arXiv2025,VLM-3R: Vision-Language Models Augmented with Instruction-Aligned 3D Reconstruction,https://arxiv.org/pdf/2505.20279,36,semantic_scholar,36,0,
CVPR2024,VCoder: Versatile Vision Encoders for Multimodal Large Language Models,https://arxiv.org/pdf/2312.14233,45,semantic_scholar,45,3,
CVPR2024,VCoder: Versatile Vision Encoders for Multimodal Large Language Models,https://arxiv.org/pdf/2312.14233,45,semantic_scholar,45,3,
EMNLP2024,To Preserve or To Compress: An In-Depth Study of Connector Selection in Multimodal Large Language Models,https://arxiv.org/pdf/2410.06765v1,7,semantic_scholar,7,1,
arXiv2025,Think with 3D: Geometric Imagination Grounded Spatial Reasoning from Limited Views,https://arxiv.org/pdf/2510.18632,7,semantic_scholar,7,0,
ECCV2024,The All-Seeing Project V2: Towards General Relation Comprehension of the Open World,https://arxiv.org/pdf/2402.19474,82,semantic_scholar,82,0,
ICCV2025,SplatTalk: 3D VQA with Gaussian Splatting,https://arxiv.org/pdf/2503.06271,11,semantic_scholar,11,0,
CVPR2024,SpatialVLM: Endowing Vision-Language Models with Spatial Reasoning Capabilities,https://arxiv.org/pdf/2401.12168,505,semantic_scholar,505,0,
arXiv2025,SpatialThinker: Reinforcing 3D Reasoning in Multimodal LLMs via Spatial Rewards,https://arxiv.org/pdf/2511.07403,0,semantic_scholar,0,0,
NeurIPS2025,"SpatialReasoner: Towards Explicit and Generalizable 3D Spatial Reasoning,",https://arxiv.org/pdf/2504.20024,17,semantic_scholar,17,0,
NeurIPS2024,SpatialRGPT: Grounded Spatial Reasoning in Vision-Language Models,https://arxiv.org/pdf/2406.01584,171,semantic_scholar,171,0,
arXiv2025,SpatialPrompting: Keyframe-driven Zero-Shot Spatial Reasoning with Off-the-Shelf Multimodal Large Language Models,https://arxiv.org/pdf/2505.04911v1,0,semantic_scholar,0,0,
NeurIPS2024,SpatialPIN: Enhancing Spatial Reasoning Capabilities of Vision-Language Models through Prompting and Interacting 3D Priors,https://arxiv.org/pdf/2403.13438,41,semantic_scholar,41,1,
arXiv2025,SpatialLadder: Progressive Training for Spatial Reasoning in Vision-Language Models,https://arxiv.org/pdf/2510.08531,6,semantic_scholar,6,0,
CVPR2025,SpatialLLM: A Compound 3D-Informed Design towards Spatially-Intelligent Large Multimodal Models,https://www.cs.jhu.edu/~alanlab/Pubs25/ma2025spatialllm.pdf,0,openalex,,0,
arXiv2025,SpatialCoT: Advancing Spatial Reasoning through Coordinate Alignment and Chain-of-Thought for Embodied Task Planning,https://arxiv.org/pdf/2501.10074,40,semantic_scholar,40,0,
CVPR2025,SpatialCLIP: Learning 3D-aware Image Representations from Spatially Discriminative Language,https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_SpatialCLIP_Learning_3D-aware_Image_Representations_from_Spatially_Discriminative_Language_CVPR_2025_paper.pdf,7,semantic_scholar,7,0,
ICRA2025,SpatialBot: Precise Spatial Understanding with Vision Language Models,https://ieeexplore.ieee.org/abstract/document/11128671,123,semantic_scholar,123,6,
arXiv2025,Spatial-MLLM: Boosting MLLM Capabilities in Visual-based Spatial Intelligence,https://arxiv.org/pdf/2505.23747,56,semantic_scholar,56,0,
arXiv2025,Spatial 3D-LLM: Progressive Spatial Awareness for Advanced 3D Vision-Language Understanding,https://openreview.net/pdf?id=JzLcKWtGnl,154,openalex,,154,
arXiv2025,Sparkle: Mastering Basic Spatial Capabilities in Vision Language Models Elicits Generalization to Spatial Reasoning,https://arxiv.org/pdf/2410.16162,24,semantic_scholar,24,0,
arXiv2025,SpaceTools: Tool-Augmented Spatial Reasoning via Double Interactive RL,https://arxiv.org/pdf/2512.04069,0,semantic_scholar,0,0,
arXiv2025,SpaceR: Reinforcing MLLMs in Video Spatial Reasoning,https://arxiv.org/pdf/2504.01805v2,29,semantic_scholar,29,0,
